Method,Area Size,Number of Drones,Number of Users,Coverage,Average Signal Strength,Average Energy Consumption,Execution Time (s)
Random,20,10,50,50,-25.694102985406225,100.0,0.0
Grid,20,10,50,50,inf,100.0,0.0
Greedy,20,10,50,50,-19.240238938275866,100.0,0.014232397079467773
PSO,20,10,50,50,-24.222348153108552,100.0,0.13521933555603027
DFO,20,10,50,50,-25.694102985406225,100.0,0.20758962631225586
Random,20,10,100,100,-26.393234588757075,100.0,0.0
Grid,20,10,100,100,inf,100.0,0.0
Greedy,20,10,100,100,-19.240238938275866,100.0,0.023654699325561523
PSO,20,10,100,100,-24.71334282178419,100.0,0.2739980220794678
DFO,20,10,100,100,-26.393234588757075,100.0,0.37441563606262207
Random,20,10,150,150,-23.330306633983415,100.0,0.0
Grid,20,10,150,150,inf,100.0,0.0
Greedy,20,10,150,150,-19.240238938275866,100.0,0.034574031829833984
PSO,20,10,150,150,-23.67293351501455,100.0,0.414292573928833
DFO,20,10,150,150,-23.330306633983415,100.0,0.5086345672607422
Random,20,20,50,50,-25.178718381771752,100.0,0.0
Grid,20,20,50,50,inf,100.0,0.0
Greedy,20,20,50,50,-19.240238938275866,100.0,0.015712499618530273
PSO,20,20,50,50,-23.876959808589664,100.0,0.26344728469848633
DFO,20,20,50,50,-25.178718381771752,100.0,0.4166405200958252
Random,20,20,100,100,-25.100159668170313,100.0,0.0
Grid,20,20,100,100,inf,100.0,0.0
Greedy,20,20,100,100,-18.976949551052375,100.0,0.02464461326599121
PSO,20,20,100,100,-15.813468762144316,100.0,0.5368068218231201
DFO,20,20,100,100,-25.100159668170313,100.0,0.894869327545166
Random,20,20,150,150,inf,100.0,0.0
Grid,20,20,150,150,inf,100.0,0.0
Greedy,20,20,150,150,-21.085483204201307,100.0,0.0443720817565918
PSO,20,20,150,150,-25.070305498657696,100.0,1.0350615978240967
DFO,20,20,150,150,inf,100.0,1.2498269081115723
Random,20,30,50,50,inf,100.0,0.0
Grid,20,30,50,50,inf,100.0,0.0009737014770507812
Greedy,20,30,50,50,-16.935749724493128,100.0,0.018438100814819336
PSO,20,30,50,50,-19.774490668918585,100.0,0.5788688659667969
DFO,20,30,50,50,inf,100.0,0.9102621078491211
Random,20,30,100,100,inf,100.0,0.0
Grid,20,30,100,100,inf,100.0,0.0
Greedy,20,30,100,100,-19.240238938275866,100.0,0.03394126892089844
PSO,20,30,100,100,-23.9223204184519,100.0,1.1753730773925781
DFO,20,30,100,100,inf,100.0,1.8513293266296387
Random,20,30,150,150,inf,100.0,0.0
Grid,20,30,150,150,inf,100.0,0.0
Greedy,20,30,150,150,-19.240238938275866,100.0,0.03659391403198242
PSO,20,30,150,150,-20.841904439053078,100.0,1.4777417182922363
DFO,20,30,150,150,inf,100.0,2.3469784259796143
Random,20,40,50,50,inf,100.0,0.0
